published_date,title,source,description,link,date_string
2024-09-01,Kritik demokrasi dan pengaruh buzzer: Cholil Mahmud serukan pentingnya keterlibatan warga dalam politik - Hops ID,Hops ID,"Cholil Mahmud dari Efek Rumah Kaca membahas tantangan demokrasi dan pentingnya keterlibatan warga, serta mengkritik buzzer.",https://www.hops.id/trending/29413458463/kritik-demokrasi-dan-pengaruh-buzzer-cholil-mahmud-serukan-pentingnya-keterlibatan-warga-dalam-politik,1 Sep 2024
2024-08-31,Suprapto Sastro Atmojo Terpilih Jadi Ketua Komite Publisher Rights,Sokoguru,"Agenda komite yang sangat mendesak adalah membahas lebih detail tata kelola organisasi, pembagian bidang tugas setiap anggota, serta rencana kerja ke depan.",https://sokoguru.id/humaniora/suprapto-sastro-atmojo-terpilih-jadi-ketua-komite-publisher-rights,31 Agu 2024
2024-08-30,"Dewan Pers Tetapkan 11 Anggota Komite Jurnalisme Berkualitas, Ini Daftarnya",Katadata.co.id,Dewan Pers melantik 11 orang anggota Komite Tanggung Jawab Perusahaan Platform Digital untuk Jurnalisme Berkualitas. Anggota ini terdiri dari unsur Dewan...,https://katadata.co.id/berita/nasional/66d1778545d21/dewan-pers-tetapkan-11-anggota-komite-jurnalisme-berkualitas-ini-daftarnya,30 Agu 2024
2024-08-29,"KPID Award 2024, Ahmad Solahudin: Dorong Sinergi untuk Kualitas Informasi yang Lebih Baik - Distrik News",Distrik News,"Wakil Ketua Komisi Penyiaran Informasi Daerah (KPID) Banten Ahmad Solahudin, wujud nyata sinergi kolaborasi untuk informasi lebih baik.",https://www.distriknews.com/nasional/38213434462/kpid-award-2024-ahmad-solahudin-dorong-sinergi-untuk-kualitas-informasi-yang-lebih-baik,29 Agu 2024
2024-08-29,"Aksi Massa di Bandung Masih Berlanjut di Gedung DPRD Jawa Barat, Serukan Rakyat Gugat Negara",Tempo.co,"TEMPO.CO, Jakarta - Ratusan mahasiswa dan elemen masyarakat lainnya kembali menggelar unjuk rasa di depan Gedung DPRD Jawa barat, Bandung pada Senin,...",https://www.tempo.co/politik/aksi-massa-di-bandung-masih-berlanjut-di-gedung-dprd-jawa-barat-serukan-rakyat-gugat-negara-14660,29 Agu 2024
2024-08-29,"KH. Auza’i Mahfudz: Kebaikan Tidak Hadir, Maka Kemungkaran yang Akan Hadir",Media Harapan,"Jakarta – Ketua Bidang Infokom MUI DK Jakarta, Dr.M. Faiz Rafdi, M. Kom, membuka seminar 'Literasi Penyiaran Aktivis Ormas Islam Jakarta, di Gedung Nyi...",https://mediaharapan.com/kh-auzai-mahfudz-kebaikan-tidak-hadir-maka-kemungkaran-yang-akan-hadir/,29 Agu 2024
2024-08-28,Massa Aksi di Solo Hidupkan Kembali Kenangan Reformasi 1998,joglosemar news,"SOLO, JOGLOSEMARNEWS – Suasana reformasi 1998 seolah terulang kembali di Kota Solo pada Rabu (28/8/2024). Ratusan massa, yang terdiri dari mahasiswa dan.",https://joglosemarnews.com/2024/08/massa-aksi-di-solo-hidupkan-kembali-kenangan-reformasi-1998/,28 Agu 2024
2024-08-26,"BEM SI Demo Kawal PKPU Pilkada di DPR, Ini Tuntutannya",detikNews,"Sejumlah elemen massa, termasuk BEM SI demo DPR sore ini. Demo massa mengawal PKPU Pilkada yang mengakomodasi 2 putusan MK.",https://news.detik.com/berita/d-7509756/bem-si-demo-kawal-pkpu-pilkada-di-dpr-ini-tuntutannya,26 Agu 2024
2024-08-26,"FH UGM Gelar Angkringan Darurat, Ajak Masyarakat ‘Siuman dan Melawan Bersama’",Mojok.co,"UGM menggelar acara bertajuk Angkringan Darurat. Melalui acara ini, mereka mengajak masyarakat untuk siuman dan melawan negara.",https://mojok.co/liputan/aktual/ugm-ajak-masyarakat-melawan-negara/,26 Agu 2024
2024-08-26,"Massa Demo Masih Bertahan Malam Ini, Jalan Gatsu Depan DPR Ditutup",detikNews,Massa masih bertahan di depan gedung DPR. Jalan Gatsu arah Slipi dan exit tol depan DPR ditutup.,https://news.detik.com/berita/d-7509824/massa-demo-masih-bertahan-malam-ini-jalan-gatsu-depan-dpr-ditutup,26 Agu 2024
2024-08-26,"BEM SI Demo di DPR Lagi, Kawal Ketat Putusan MK dan Tolak RUU Bermasalah",Tempo.co,"TEMPO.CO, Jakarta - BEM SI dan Koalisi masyarakat sipil menggelar aksi unjuk rasa di DPR pukul 13.00 hingga 18.00 pada Senin, 26 Agustus 2024.",https://www.tempo.co/politik/bem-si-demo-di-dpr-lagi-kawal-ketat-putusan-mk-dan-tolak-ruu-bermasalah-15475,26 Agu 2024
2024-08-26,"Demo Mahasiswa di DPR: Kawal Tuntas PKPU, Kami Tahu Watak Pemerintah",CNN Indonesia,Mahasiswa yang berdemonstrasi di depan gedung DPR menyerukan agar publik terus mengawal dua putusan MK terkait UU Pilkada betul-betul dijalankan pemerintah.,https://www.cnnindonesia.com/nasional/20240826173951-20-1137696/demo-mahasiswa-di-dpr-kawal-tuntas-pkpu-kami-tahu-watak-pemerintah,26 Agu 2024
2024-08-24,Dewan Pers Desak Propam Polri Usut Kekerasan Aparat terhadap Jurnalis saat Aksi Tolak RUU Pilkada,Tempo.co,Dewan Pers meminta segera penyelidikan internal untuk memberikan keadilan bagi para jurnalis yang menjadi korban saat meliput demo pada 22 Agustus 2024.,https://www.tempo.co/hukum/dewan-pers-desak-propam-polri-usut-kekerasan-aparat-terhadap-jurnalis-saat-aksi-tolak-ruu-pilkada-16204,24 Agu 2024
2024-08-24,"HUT TVRI, Lembaga Penyiaran Publik Nasional Indonesia",RRI.co.id,"KBRN, Singaraja: Tanggal 24 Agustus merupakan Hari Ulang Tahun (HUT) Televisi Republik Indonesia (TVRI). TVRI adalah Lembaga Penyiaran Publik (LPP) berskala...",https://www.rri.co.id/nasional/926745/hut-tvri-lembaga-penyiaran-publik-nasional-indonesia,24 Agu 2024
