Source,Target,Weight
voxjournalistkw,jimbotalterego,1
wahjoewebee,kozirama,1
wannafigh,LexWu_13,1
wayangorang1234,PartaiSocmed,1
wh0tvr,ireneclaire202,1
wh0tvr,tanyakanrl,1
whitelioonn,ardisatriawan,1
whitelioonn,chicohakim,1
williamg1808,ARSIPAJA,1
williamg1808,CNNIndonesia,1
williamg1808,DitjenPajakRI,1
williamg1808,IanSalim,1
williamg1808,MasMasBiassaa,1
williamg1808,Mdy_Asmara1701,1
williamg1808,Miduk17,1
williamg1808,PartaiSocmed,1
williamg1808,Serigala_Blue,1
williamg1808,adarwis,1
williamg1808,jokoanwar,1
williamg1808,kompascom,1
williamg1808,prabowo,1
williamg1808,tadanohuma28578,1
williamg1808,whoami884368729,1
wiuindonesia,remotivi,2
xoxoandchoco,aromapetrikorr,1
xoxoandchoco,grok,1
yana_novianto,brfelindra,1
yangmi3prnew,akbarfaizal68,1
yasir_badwi65,brfelindra,1
z0necrypt0,corbuzier,1
zahra_septiani0,brfelindra,1
zenincarr,Conceilted,1
zenonthis,corbuzier,1
zenrs,NarasiNewsroom,1
zenrs,aqfiazfan,1
zenrs,arbysoemandoyo,1
zenrs,narasitv,1
zenrs,sopasia,1
zeroobeyond,biohazzardouz,1
zoel711,pandji,1
zulfikar_k360ib,MythiaVTuber,2
